route_id,bus_number,scheduled_arrival,actual_arrival,delay_minutes,distance_km,weekday,weather,region
R003,DL8619,07:38,07:33,-5.0,14.4,Monday,Sunny,Lajpat Nagar
R048,DL4265,06:05,06:13,8.2,8.9,Monday,Sunny,Lajpat Nagar
R027,DL4179,12:40,12:47,7.8,6.5,Friday,Sunny,Connaught Place
R041,DL7267,11:01,11:16,15.1,22.7,Thursday,Sunny,Noida Sector 18
R032,DL4987,13:47,13:46,-0.8,5.5,Tuesday,Foggy,Dwarka
R042,DL1781,06:18,06:17,-0.3,9.6,Saturday,Sunny,Noida Sector 18
R004,DL7966,13:56,13:51,-5.0,12.6,Monday,Sunny,Rajouri Garden
R039,DL2854,12:21,12:35,14.5,12.3,Sunday,Cloudy,Noida Sector 18
R022,DL9533,16:38,16:38,0.7,20.3,Friday,Foggy,Rohini
R006,DL7289,14:55,14:52,-2.4,14.2,Friday,Rainy,Rajouri Garden
R017,DL2049,15:30,15:28,-1.3,16.4,Tuesday,Sunny,Rohini
R009,DL6894,13:26,13:36,11.0,17.9,Sunday,Rainy,Rajouri Garden
R004,DL4761,09:16,09:22,6.2,19.8,Thursday,Cloudy,Rajouri Garden
R039,DL5467,14:08,14:07,-0.2,9.3,Sunday,Sunny,Saket
R041,DL1927,08:39,08:37,-1.0,6.6,Sunday,Cloudy,Dwarka
R015,DL3648,09:24,09:38,14.5,7.4,Thursday,Rainy,Rajouri Garden
R003,DL9501,16:11,16:06,-5.0,22.1,Monday,Cloudy,Noida Sector 18
R011,DL5810,09:06,09:09,3.4,17.4,Friday,Sunny,Saket
R034,DL1521,09:25,09:27,2.7,5.9,Friday,Foggy,Connaught Place
R026,DL5102,07:50,07:58,8.9,21.6,Friday,Sunny,Lajpat Nagar
R012,DL7833,17:54,18:26,32.8,12.8,Thursday,Cloudy,Karol Bagh
R050,DL9021,07:22,07:38,16.9,9.6,Tuesday,Sunny,Noida Sector 18
R029,DL7289,11:38,11:45,7.2,29.2,Saturday,Sunny,Dwarka
R020,DL6458,09:30,09:43,13.8,28.0,Wednesday,Sunny,Rajouri Garden
R043,DL2317,16:26,16:21,-5.0,7.2,Sunday,Sunny,Connaught Place
R006,DL8889,09:23,09:18,-5.0,11.8,Wednesday,Sunny,Rohini
R018,DL5293,16:32,16:27,-5.0,25.7,Thursday,Cloudy,Lajpat Nagar
R044,DL3958,07:09,07:05,-3.8,18.6,Wednesday,Sunny,Dwarka
R013,DL2270,10:21,10:31,10.8,8.5,Tuesday,Sunny,Rohini
R002,DL4756,15:05,15:18,13.9,23.2,Wednesday,Rainy,Rohini
R045,DL7408,08:27,08:29,2.9,24.3,Sunday,Sunny,Rohini
R023,DL5668,14:10,14:08,-1.2,7.9,Monday,Sunny,Rajouri Garden
R043,DL8667,06:49,06:44,-5.0,26.6,Saturday,Sunny,Rajouri Garden
R010,DL7018,10:43,10:58,16.0,6.6,Monday,Rainy,Dwarka
R026,DL3457,13:41,13:57,16.8,12.8,Friday,Sunny,Saket
R013,DL8350,10:23,10:19,-4.0,20.9,Wednesday,Sunny,Rajouri Garden
R037,DL7090,09:36,09:31,-5.0,27.2,Thursday,Sunny,Rajouri Garden
R047,DL3431,11:56,12:00,4.2,22.8,Thursday,Rainy,Lajpat Nagar
R015,DL5278,10:20,10:39,20.0,24.0,Friday,Sunny,Dwarka
R036,DL4083,15:19,15:27,8.4,17.3,Thursday,Rainy,Lajpat Nagar
R046,DL8704,10:58,10:59,1.0,18.1,Saturday,Rainy,Noida Sector 18
R035,DL1331,13:44,13:48,4.4,7.7,Sunday,Rainy,Saket
